stt,ten,dactinh
1,Abyssinian,"Mèo Abyssinian là giống mèo có kích thước nhỏ đến trung bình, với con đực nặng 3 đến 5 kg và con cái nặng 2.5 đến 4 kg, lông mèo Abyssinian có độ dày trung bình. Tuổi thọ trung bình của giống mèo này sống thọ từ 9 đến 15 năm"
2,Bengal,"Mèo Bengal là một giống mèo nhà được phát triển sao cho giống những loài họ mèo hoang dã với mục tiêu tạo ra một giống mèo tinh ranh, khỏe mạnh và thân thiện  với bộ lông mang màu sắc rực rỡ và độ tương phản cao. Có thân hình dài, nhiều cơ bắp và khỏe mạnh, đôi chân nhỏ. Tai to, dựng đứng, đuôi nhỏ và thon dài. Cặp mắt to thường có màu xanh ngọc bích và con ngươi màu đen. Lông của mèo Bengal ngắn, dày và rất lượt, ít bị rụng. Màu lông giống hệt báo rừng, phổ biến nhất là màu cẩm thạch, màu đen và màu nâu cốm."
3,Birman,"Mèo Birman có thể nặng từ 3 – 6kg và phát triển đầy đủ khi chúng lên 3 tuổi. Con đực thường sẽ nặng hơn con cái đôi chút. Đây cũng là giống mèo khá khỏe mạnh và hiếm khi mắc bệnh, mặc dù có một vài thông tin nói rằng chúng dễ bị mắc bệnh cơ tim phì đại."
4,Bombay,"Thân hình của mèo cơ bản khá cân đối, phần cơ bắp rắn chắc, cấu trúc xương to, đầu tròn, lỗ tai ngắn. Trung bình Bombay có thể sống được từ 9 – 13 năm tùy vào điều kiện sinh sống. Tại Việt Nam do giống này chưa được phổ biến nên chưa có số liệu thống kê về tuổi thọ trung bình của chúng. Là giống mèo rất dễ nhận diện bởi đặc trưng của chúng là một bộ lông màu đen tuyền, bóng bảy, trơn láng, đôi mắt màu vàng đồng cùng một cái đầu tròn. Nếu để hai tấm ảnh báo đen Ấn độ và mèo Bombay cạnh nhau bạn sẽ thấy sự giống nhau tới lạ thường."
5,British Shorthair,"British Shorthair là giống mèo rất tốt tính, chúng rất hiền lành, nhẹ nhàng, trầm tĩnh và tình cảm, loài mèo này không quá nghịch ngợm và hiếu động. Mèo Anh lông ngắn là giống mèo có sức khỏe tốt và dễ nuôi dưỡng, tuy nhiên tuổi thọ của chúng không quá dài, chúng chỉ sống từ khoảng 8-10 năm. Chúng có bộ lông ngắn và rất dày, bộ lông có màu phổ biến là màu xanh xám."
6,Dilute Calico,"Mèo Calico (Tam Thể) là đề cập đến một loại màu lông chứ không phải một giống mèo; vì vậy nên sẽ có nhiều giống mèo khác nhau có thể có mẫu này..  Về cơ bản, một chú Mèo Calico sẽ có bộ lông gồm ba màu. Có nghĩa là sẽ có ít nhất ba màu trong bộ lông của những chú Mèo này. Thông thường, ba màu này là Đen, Cam và chủ yếu là màu Trắng; nhưng các biến thể của những màu này cũng có thể có mặt trên bộ lông của Mèo."
7,Egyptian Mau,"Mèo Egyptian Mau có kích thước chiều dài thân hình thuộc cỡ trung bình. Điểm đặc biệt ở giống mèo này là cặp chân sau của chúng sẽ dài hơn một tẹo so với 2 chân trước. Và có lẽ do đặc điểm này mà chúng cũng giành được danh hiệu con mèo nhà chạy nhanh nhất, vận tốc của chúng có thể đạt tới 48km/h. Mắt của chúng khá to, có xu hướng hơi xếch lên một chút và có màu xanh ngỗng. Bộ lông của chúng tương đối dày, bóng và có một số màu cơ bản tự nhiên như đồng, bạc, khói và điểm trên đó là những họa tiết hoa văn sọc vằn đen."
8,Havana,"Havana Brown nặng từ 2 đến 5kg là một giống mèo có kích cỡ vừa, chúng có thân hình khá gọn gàng và cơ bắp, khung xương rất lớn và nặng, các cặp chân rất cao và rất linh hoạt, những con mèo nâu Havana này rất nhanh nhẹn và mạnh mẽ, chúng có thể leo lên cây và di chuyển một cách rất nhanh chóng."
9,Maine Coon,"Maine Coon là những con mèo cao lớn, vạm vỡ với những cái đuôi dài và mượt giống như một chùm lông. tuổi thọ trung bình: 10 tuổi (khoảng 15 năm). Những chiếc áo khoác lông mèo nặng, bóng bẩy và bàn chân to, tròn của chúng rất tuyệt để chịu đựng khí hậu mùa đông khắc nghiệt. Mắt và tai của chúng rất to."
10,Persian,"Mèo Persian nặng khoảng từ 3 đến 5kg với chiều cao từ 25 đến 38cm. Mèo Ba Tư có chiếc đầu lớn, tròn, hai bá mầu bĩnh, mũi của chúng khá ngắn và mõm sâu, tổng thể khuôn mặt phẳng. Cùng với đó là đôi tai nhỏ hình tam giác dựng đứng, đôi mắt to, có phần sắc sảo khiến mèo Ba Tư càng thêm phần kiêu sa hơn."
